Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  125,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [1, 4], [3, 3]]
  126,  [[0, 0], [0, 0], [0, 2], [1, 3], [1, 3], [1, 3], [1, 4], [3, 5]]
  127,  [[0, 0], [0, 1], [0, 3], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
  128,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 1], [2, 3], [3, 3]]
  129,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [2, 3], [3, 4]]
  130,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [3, 5]]
  131,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [2, 3], [3, 3]]
  132,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [3, 3], [3, 3]]
  133,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [2, 3], [3, 5]]
  134,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
  135,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 1], [1, 3], [1, 3], [3, 3]]
  136,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [3, 5]]
  137,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 2], [1, 3], [1, 3], [3, 3]]
  138,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 2], [1, 3], [3, 3]]
  139,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [1, 3], [3, 5]]
  140,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [1, 3], [3, 4]]
  141,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [5, 5]]
  142,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 1], [2, 3], [3, 3], [3, 3]]
  143,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 1], [1, 3], [2, 3], [3, 4]]
  144,  [[0, 1], [0, 1], [0, 4], [1, 1], [1, 1], [2, 3], [3, 3], [3, 3]]
  145,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 1], [2, 3], [3, 3], [3, 5]]
  146,  [[0, 1], [0, 2], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
  147,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 2], [1, 3], [3, 3], [3, 3]]
