Nomber of atoms =  8
Atoms =  ['O', 'O', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 6, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   66,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [6, 6]]
   67,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 4], [1, 5], [2, 4], [3, 3], [3, 4], [4, 6]]
   68,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 4], [2, 4], [3, 3], [3, 4], [4, 6]]
   69,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [3, 6], [4, 7]]
   70,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 3], [4, 4], [4, 6]]
   71,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 3], [3, 4], [4, 4]]
   72,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 4], [4, 4], [4, 6]]
   73,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 3], [2, 4], [3, 4], [4, 4], [4, 6]]
   74,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [4, 6], [4, 7]]
   75,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [4, 4], [6, 6]]
   76,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 4], [1, 5], [2, 4], [3, 4], [3, 4], [6, 6]]
   77,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 4], [2, 4], [3, 4], [3, 4], [6, 6]]
   78,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [3, 4], [6, 7]]
   79,  [[0, 0], [0, 5], [0, 6], [1, 2], [1, 3], [1, 3], [3, 3], [3, 4], [4, 4], [4, 7]]
   80,  [[0, 0], [0, 5], [0, 6], [1, 2], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [7, 7]]
   81,  [[0, 0], [0, 3], [0, 3], [1, 2], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
   82,  [[0, 0], [0, 3], [0, 3], [1, 2], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
