Nomber of atoms =  9
Atoms =  ['O', 'N', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 5, 1, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   82,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [4, 8]]
   83,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   84,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   85,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   86,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
   87,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5]]
   88,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   89,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   90,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 1], [2, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
   91,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
   92,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 4], [4, 5], [5, 7], [8, 8]]
   93,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
   94,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [4, 5], [5, 5], [7, 7]]
   95,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [4, 5], [7, 7], [8, 8]]
   96,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [3, 7], [4, 5], [4, 5], [5, 8]]
   97,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
   98,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
   99,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 4], [4, 5], [5, 8]]
  100,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 5], [1, 6], [1, 7], [2, 5], [4, 4], [4, 5], [5, 8]]
  101,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 4], [3, 5], [4, 5], [5, 8]]
  102,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 4], [5, 5], [5, 8]]
  103,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 4], [4, 5], [5, 5]]
  104,  [[0, 4], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [5, 5], [5, 8]]
  105,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 4], [1, 6], [1, 7], [2, 5], [4, 5], [5, 5], [5, 8]]
  106,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [3, 5], [4, 5], [5, 8]]
  107,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [5, 5], [8, 8]]
  108,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 7], [1, 8], [2, 5], [4, 5], [4, 5], [5, 5]]
