Nomber of atoms =  11
Atoms =  ['O', 'O', 'N', 'CH3', 'CH3', 'CH3', 'CH2', 'CH2', 'C', 'H', 'H']
Valence electrons =  [6, 6, 5, 1, 1, 1, 2, 2, 4, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   54,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [8, 8]]
   55,  [[0, 0], [0, 8], [0, 9], [1, 1], [1, 8], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   56,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 9], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   57,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8]]
   58,  [[0, 0], [0, 2], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   59,  [[0, 0], [0, 0], [0, 8], [1, 2], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   60,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8], [10, 10]]
   61,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [8, 10]]
   62,  [[0, 0], [0, 6], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   63,  [[0, 0], [0, 0], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   64,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 3], [2, 4], [2, 6], [2, 10], [5, 7], [6, 7], [8, 8]]
   65,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
   66,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [7, 8]]
   67,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   68,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   69,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
   70,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 8], [2, 10], [4, 6], [6, 7], [7, 8]]
   71,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 8], [5, 6], [6, 7], [7, 8]]
   72,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [8, 8]]
   73,  [[0, 0], [0, 3], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
   74,  [[0, 0], [0, 0], [0, 9], [1, 3], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
   75,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [10, 10]]
   76,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [8, 8]]
   77,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 9], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   78,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   79,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8]]
   80,  [[0, 0], [0, 2], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   81,  [[0, 0], [0, 0], [0, 9], [1, 2], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   82,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8], [10, 10]]
   83,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [8, 10]]
   84,  [[0, 0], [0, 6], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   85,  [[0, 0], [0, 0], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   86,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 6], [2, 10], [5, 7], [6, 7], [8, 8]]
   87,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
   88,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 9], [2, 10], [4, 6], [6, 7], [7, 8]]
   89,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 9], [2, 10], [5, 6], [6, 7], [8, 8]]
   90,  [[0, 0], [0, 3], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 9], [5, 6], [6, 7], [7, 8]]
   91,  [[0, 0], [0, 0], [0, 8], [1, 3], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 9], [5, 6], [6, 7], [7, 8]]
   92,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [9, 9]]
   93,  [[0, 0], [0, 2], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [9, 9]]
   94,  [[0, 0], [0, 0], [0, 8], [1, 2], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [9, 9]]
   95,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [9, 10]]
   96,  [[0, 0], [0, 6], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 7], [6, 7], [8, 8]]
   97,  [[0, 0], [0, 0], [0, 8], [1, 6], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 7], [6, 7], [8, 8]]
   98,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 6], [2, 9], [5, 7], [6, 7], [8, 8]]
   99,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [7, 7], [8, 8]]
  100,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [8, 10]]
  101,  [[0, 0], [0, 8], [0, 9], [1, 3], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
  102,  [[0, 0], [0, 8], [0, 9], [1, 3], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
