Nomber of atoms =  10
Atoms =  ['Ph', 'X', 'M', 'O', 'O', 'O', 'CH2', 'C', 'C', 'H']
Valence electrons =  [3, 7, 1, 6, 6, 6, 2, 4, 4, 1]
Fixed electrons =  [[1, 1], [1, 1], [1, 1], [3, 3], [4, 4], [5, 5]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   56,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 7], [3, 7], [4, 4], [4, 8], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   57,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 7], [6, 9]]
   58,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   59,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 7], [6, 9]]
   60,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [7, 7]]
   61,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 7], [9, 9]]
   62,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   63,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   64,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
   65,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   66,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 7], [5, 8], [5, 8], [6, 8], [6, 9]]
   67,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 7], [5, 8], [6, 8], [6, 9]]
   68,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   69,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
   70,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   71,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 9], [8, 8]]
   72,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 9], [8, 8]]
   73,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [8, 8]]
   74,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   75,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 8], [9, 9]]
   76,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 8], [9, 9]]
   77,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [9, 9]]
   78,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   79,  [[0, 7], [0, 8], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   80,  [[0, 7], [0, 8], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   81,  [[0, 7], [0, 8], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   82,  [[0, 7], [0, 8], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   83,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   84,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   85,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   86,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
   87,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   88,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   89,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 7], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   90,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   91,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   92,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   93,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
   94,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   95,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   96,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   97,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   98,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   99,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 8], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 7], [5, 8], [6, 8], [6, 9]]
  100,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 7], [5, 8], [6, 8], [6, 9]]
  101,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  102,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
  103,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
  104,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  105,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
  106,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
  107,  [[0, 6], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  108,  [[0, 0], [0, 7], [1, 6], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  109,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  110,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 9], [8, 8]]
  111,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 9], [8, 8]]
  112,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [8, 8]]
  113,  [[0, 0], [0, 7], [1, 1], [2, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9]]
  114,  [[0, 7], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
  115,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 7], [6, 8], [6, 9]]
