Nomber of atoms =  8
Atoms =  ['X', 'X', 'CH3', 'CH3', 'C', 'C', 'H', 'H']
Valence electrons =  [7, 7, 1, 1, 4, 4, 1, 1]
Fixed electrons =  [[0, 0], [0, 0], [0, 0], [1, 1], [1, 1], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  137,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 4], [4, 6], [5, 5]]
  138,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 4], [4, 5], [5, 5]]
  139,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 4], [4, 5], [6, 6]]
  140,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 6], [5, 5], [5, 7]]
  141,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 5], [5, 6], [7, 7]]
  142,  [[0, 4], [1, 4], [2, 4], [3, 5], [4, 4], [5, 5], [5, 6]]
  143,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 4], [5, 6], [5, 7]]
  144,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 4], [5, 5], [5, 5]]
  145,  [[0, 4], [1, 4], [2, 4], [3, 5], [4, 5], [5, 6], [5, 7]]
  146,  [[0, 4], [1, 4], [2, 4], [3, 5], [4, 5], [5, 5], [6, 6]]
  147,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 5], [5, 5], [6, 7]]
  148,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 5], [4, 5], [6, 7]]
  149,  [[0, 0], [1, 1], [2, 4], [3, 5], [4, 5], [4, 5], [6, 7]]
  150,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [4, 5], [6, 7]]
  151,  [[0, 4], [1, 6], [4, 5], [4, 5], [4, 5], [5, 5], [7, 7]]
  152,  [[0, 4], [1, 6], [4, 4], [4, 5], [5, 5], [5, 5], [7, 7]]
  153,  [[0, 4], [1, 6], [2, 7], [4, 4], [4, 5], [4, 5], [5, 5]]
  154,  [[0, 4], [1, 6], [4, 4], [4, 4], [5, 5], [5, 5], [5, 7]]
  155,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 4], [5, 7]]
  156,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 4], [5, 5], [5, 5]]
  157,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 5], [5, 5]]
  158,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 5], [7, 7]]
  159,  [[0, 4], [1, 6], [2, 5], [4, 5], [4, 5], [5, 5], [7, 7]]
  160,  [[0, 4], [1, 6], [2, 5], [3, 7], [4, 4], [4, 5], [5, 5]]
  161,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 5], [4, 5], [4, 7]]
  162,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 4], [4, 5], [4, 5]]
